feature_name,step_desc,control_id,control_action,data,expectation,optional
initialize first startup,agree share location(optional),btnAgreeShareLocation,click,,,true
,,,,,,
login with valid production account,enter My Account page,btnMenuMyAccount,click,,tablecellMyAccountSystemSettings,
,enter Login page,tablecellMyAccountLogin,click,,btnForgetPassword,
,input production EmailAddress,txtfieldEmailAddress,type,${config.ProductionEnvAccount.UserName},sectxtfieldPassword,
,input production Password,sectxtfieldPassword,type,${config.ProductionEnvAccount.Password},btnLogin,
,login,btnLogin,click,,tablecellMyMessage,
,close coupon popup window(optional),btnClose,click,,,true
,,,,,,
logout,enter My Account page,btnMenuMyAccount,click,,tablecellMyAccountSystemSettings,
,enter Settings page,tablecellMyAccountSystemSettings,click,,txtCountryDistrict,
,logout,btnLogout,click,,uiviewMyAccount,
,,,,,,
